Sample (n), Avg. Voltage (ΣV/n)
0.010509253,1.965820313
0.020800829,1.948242188
0.031117678,2.030273438
0.041750908,2.036132813
0.052243233,2.047851563
0.062656403,2.021484375
0.07307744,2.02734375
0.083545446,2.033203125
0.094270229,2.015625
0.104627609,1.986328125
0.115062475,1.9453125
0.125705719,2.056640625
0.136221647,2.05078125
0.146632195,2.021484375
0.157030344,1.995117188
0.167498589,1.986328125
0.178361893,1.98046875
0.189553976,2.024414063
0.21531558,2.036132813
0.226041794,2.009765625
0.236717224,2.041992188
0.247291565,2.05078125
0.257843971,2.033203125
0.268426657,2.006835938
0.279652834,2.044921875
0.293134212,2.041992188
0.319062948,1.954101563
0.329723835,1.954101563
0.340366125,2.05078125
0.351054192,2.0390625
0.361633778,2.047851563
0.372281551,1.954101563
0.382913589,2.05078125
0.393529415,1.98046875
0.404273987,1.965820313
0.422975063,1.962890625
0.433744669,2.056640625
0.444370747,2.02734375
0.454954863,2.024414063
0.46561265,2.024414063
0.476278305,2.024414063
0.486864567,1.962890625
0.497465611,1.951171875
0.509186745,2.009765625
0.527136087,1.948242188
0.538125038,2.009765625
0.54876709,2.047851563
0.559388638,2.05078125
0.570122957,1.948242188
0.58073926,1.965820313
0.59154129,1.983398438
0.602212191,2.033203125
0.613024712,1.962890625
0.629395962,2.036132813
0.640091181,2.05078125
0.650665998,2.041992188
0.66126442,1.95703125
0.671904802,2.021484375
0.682612896,2.033203125
0.693244219,2.033203125
0.703844786,1.98046875
0.714428902,2.056640625
0.732540846,2.056640625
0.743262291,2.041992188
0.753913879,1.986328125
0.764470816,1.95703125
0.775084257,2.041992188
0.785670519,1.974609375
0.796238422,1.95703125
0.806832552,2.05078125
0.817445278,1.971679688
0.836484909,1.959960938
0.847121239,2.02734375
0.8577075,2.030273438
0.868292093,2.00390625
0.878866434,2.024414063
0.889429808,1.998046875
0.89997077,2.021484375
0.910533667,1.965820313
0.921123028,1.959960938
0.940408945,1.983398438
0.951064587,1.965820313
0.961655855,1.95703125
0.972291231,1.95703125
0.982907772,2.006835938
0.993491173,2.009765625
1.004075289,1.965820313
1.014690399,2.053710938
1.025319815,1.9453125
1.03583312,2.024414063
1.048114538,1.971679688
1.058793068,2.047851563
1.069483519,1.948242188
1.080135107,2.041992188
1.090722799,1.986328125
1.101281404,2.036132813
1.112197638,1.959960938
1.12547636,2.036132813
1.136198759,2.056640625
1.151546955,1.954101563
1.162255526,2.033203125
1.172936201,2.018554688
1.18353343,2.041992188
1.194118977,2.033203125
1.20466733,2.000976563
1.215306044,2.036132813
1.226079226,2.041992188
1.252928734,1.986328125
1.263602018,1.986328125
1.274283886,2.0390625
1.284913301,2.024414063
1.295507669,2.041992188
1.306106806,1.995117188
1.316721916,2.00390625
1.327415228,1.971679688
1.338147879,2.015625
1.358528614,2.036132813
1.3692348,2.041992188
1.37984252,2.024414063
1.390453339,1.9453125
1.401025772,2.053710938
1.411646843,2.036132813
1.422287226,2.05078125
1.432889223,2.006835938
1.460300684,2.015625
1.471000195,1.95703125
1.481616497,1.989257813
1.492200375,2.024414063
1.502922773,2.018554688
1.513510227,1.948242188
1.524208784,2.056640625
1.535287619,1.998046875
1.546163321,1.962890625
1.567810297,2.053710938
1.57851243,1.95703125
1.589159012,2.015625
1.599783659,1.951171875
1.610373259,2.041992188
1.621024847,2.059570313
1.63173461,2.053710938
1.642383337,1.98046875
1.653178692,2.047851563
1.67161727,1.951171875
1.682376146,2.05078125
1.693002462,2.05078125
1.703618526,2.041992188
1.714241743,2.036132813
1.72489357,1.974609375
1.735515118,1.95703125
1.746149063,1.965820313
1.756898403,1.948242188
1.7675488,2.006835938
1.780371189,2.056640625
1.79099369,2.053710938
1.801552057,1.965820313
1.81209898,2.056640625
1.8227005,2.047851563
1.833276272,2.00390625
1.843950748,2.044921875
1.855611086,1.977539063
1.878790379,1.954101563
1.889449835,2.05078125
1.900032043,1.965820313
1.910639286,2.018554688
1.921274185,1.9453125
1.931835413,2.021484375
1.942474604,2.041992188
1.953205347,2.041992188
1.9639256,2.000976563
1.982751846,2.05078125
1.993399143,2.05078125
2.003964186,2.05078125
2.014521837,2.006835938
2.025200844,1.948242188
2.036144495,2.05078125
2.046763659,2.033203125
2.057413578,2.059570313
2.085147142,2.05078125
2.09572649,2.009765625
2.106388569,1.965820313
2.117016315,1.95703125
2.127650738,1.962890625
2.138205528,1.995117188
2.15164423,2.041992188
2.162571907,1.951171875
2.188845634,1.998046875
2.19952774,1.95703125
2.21013689,1.9453125
2.220757246,2.009765625
2.231437922,1.989257813
2.242034912,1.948242188
2.252621174,2.00390625
2.263252974,2.036132813
2.27385664,1.948242188
2.292595863,1.95703125
2.303289175,2.036132813
2.31386447,2.041992188
2.32448411,2.047851563
2.335024834,2.056640625
2.345581293,1.948242188
2.356190681,1.977539063
2.366811991,2.05078125
2.377384901,2.006835938
2.396386623,1.995117188
2.407024384,2.05078125
2.417680025,1.965820313
2.428248167,1.995117188
2.438805103,2.036132813
2.449372768,2.009765625
2.459913969,2.012695313
2.470509052,2.018554688
2.481125593,2.033203125
2.491764784,2.056640625
2.503966808,2.047851563
2.514539242,2.047851563
2.5252285,2.00390625
2.536202192,2.041992188
2.546809912,1.965820313
2.557403088,2.021484375
2.568125486,2.05078125
2.578828096,1.954101563
2.604986668,2.05078125
2.615716934,1.989257813
2.626357794,1.995117188
2.63696456,1.948242188
2.647777796,1.9453125
2.65840888,1.962890625
2.669020414,2.041992188
2.67971468,2.012695313
2.690554142,1.951171875
2.710871458,2.041992188
2.721568823,2.00390625
2.732158184,2.053710938
2.742747068,2.05078125
2.753341436,1.98046875
2.763954878,1.977539063
2.774558783,2.012695313
2.78520155,2.041992188
2.812538624,2.053710938
2.823310137,2.056640625
2.833916903,1.986328125
2.844468832,2.05078125
2.855035067,2.041992188
2.865579844,2.036132813
2.876185179,2.053710938
2.886862516,2.009765625
2.897429466,1.989257813
2.916683674,2.024414063
2.927363634,2.05078125
2.937933445,2.021484375
2.94850111,1.95703125
2.959067822,2.024414063
2.969691992,1.965820313
2.983554602,2.047851563
2.994415283,2.00390625
3.02072835,2.053710938
3.031870365,1.954101563
3.042547703,2.056640625
3.053149223,1.959960938
3.063718319,1.983398438
3.074346066,2.00390625
3.084933996,1.977539063
3.095655918,1.948242188
3.106463671,1.962890625
3.127131224,2.041992188
3.137827873,1.986328125
3.148433685,1.983398438
3.159076691,2.024414063
3.169740438,1.995117188
3.180446625,2.036132813
3.191039562,2.047851563
3.201720715,1.948242188
3.214569092,2.053710938
3.224949837,2.047851563
3.235395908,2.00390625
3.246049881,1.977539063
3.256639004,2.05078125
3.267359972,2.047851563
3.277954578,2.05078125
3.288553715,2.056640625
3.299336672,2.05078125
3.312208891,2.047851563
3.334929228,2.024414063
3.345572472,2.041992188
3.356209517,1.95703125
3.366846561,2.05078125
3.37741375,2.05078125
3.388014555,2.024414063
3.398599148,2.041992188
3.409228802,2.041992188
3.422292471,2.033203125
3.43266511,2.041992188
3.443396807,1.95703125
3.453988075,2.000976563
3.464541435,2.05078125
3.475117445,2.05078125
3.485696554,2.006835938
3.496259212,1.977539063
3.506818056,2.030273438
3.517460346,2.00390625
3.540803432,2.024414063
3.551578522,1.962890625
3.562289238,2.012695313
3.573003769,1.995117188
3.583738327,2.00390625
3.594349146,2.05078125
3.607689619,1.995117188
3.618657351,1.948242188
3.629444599,2.056640625
3.645171165,1.954101563
3.655863523,2.041992188
3.666529417,2.021484375
3.677155256,1.995117188
3.687817574,1.995117188
3.698444128,2.056640625
3.709024906,1.995117188
3.719805479,2.05078125
3.730423927,2.02734375
3.74848175,2.024414063
3.759112597,2.041992188
3.769773006,2.0390625
3.780355215,2.047851563
3.790942907,1.98046875
3.801500559,2.05078125
3.812056541,2.041992188
3.822632074,1.948242188
3.833193302,1.959960938
3.843839169,2.047851563
3.854317188,1.9453125
3.864754677,1.951171875
3.875398397,2.041992188
3.885957956,2.012695313
3.896544695,1.948242188
3.907098532,2.053710938
3.917684793,1.98046875
3.9282341,2.036132813
3.938664436,1.959960938
3.956968307,2.047851563
3.967846632,1.954101563
3.978449821,1.998046875
3.98910594,2.05078125
3.999730349,2.021484375
4.010293484,2.009765625
4.021030188,2.056640625
4.032134056,1.962890625
4.0428195,2.053710938
4.060913086,1.98046875
4.07167697,2.05078125
4.082270622,1.965820313
4.092866421,1.965820313
4.103448153,1.986328125
4.114001513,1.989257813
4.124608994,1.95703125
4.135280371,2.05078125
4.145950317,2.041992188
4.164389372,2.047851563
4.175044537,2.05078125
4.185642242,1.948242188
4.196228981,1.948242188
4.206794024,2.047851563
4.217381477,2.024414063
4.227949142,2.009765625
4.238531113,1.959960938
4.249093771,2.053710938
4.268418312,2.041992188
4.279019594,1.965820313
4.289624691,1.98046875
