Data point (n), Voltage (V) 
0.010287523,2.82421875
0.020580769,2.806640625
0.044694424,2.75390625
0.055269957,2.865234375
0.065714359,2.856445313
0.076190948,2.853515625
0.086610317,2.774414063
0.097014666,2.841796875
0.10742712,2.80078125
0.117837191,2.791992188
0.128242016,2.75390625
0.144671917,2.77734375
0.155102015,2.853515625
0.165501356,2.856445313
0.175923109,2.791992188
0.186358213,2.80078125
0.197016478,2.82421875
0.211134672,2.786132813
0.222005844,2.8359375
0.248476267,2.756835938
0.259278059,2.771484375
0.270150661,2.8359375
0.281069756,3.659179688
0.291708231,4.76953125
0.30226016,5.35546875
0.312835932,5.33203125
0.323444843,5.23828125
0.334044218,5.323242188
0.352408409,5.2734375
0.363238573,5.3203125
0.373888731,5.329101563
0.384576797,5.296875
0.395166159,5.302734375
0.405747175,5.302734375
0.416319609,5.329101563
0.426972866,5.3203125
0.437569618,5.25
0.455956459,5.3203125
0.466604948,5.323242188
0.477267504,5.255859375
0.487896442,5.314453125
0.498472691,5.23828125
0.509053707,5.311523438
0.519630909,5.302734375
0.530297995,5.349609375
0.540994883,5.352539063
0.560158491,5.299804688
0.570977688,5.276367188
0.581664562,5.349609375
0.592255831,5.23828125
0.602888346,5.311523438
0.613474607,5.270507813
0.624162912,5.35546875
0.634892225,5.35546875
0.645704269,5.340820313
0.666248083,5.288085938
0.677000999,5.323242188
0.687600374,5.23828125
0.698196173,5.302734375
0.708842039,5.23828125
0.719394445,5.229492188
0.729973316,5.323242188
0.740822077,5.247070313
0.751615047,5.28515625
0.77034235,5.296875
0.78105998,5.2265625
0.791695833,5.323242188
0.802281618,5.311523438
0.812900782,5.33203125
0.823520899,5.2734375
0.835074663,5.361328125
0.848498344,5.267578125
0.874531984,5.33203125
0.885212183,5.3203125
0.895770311,5.288085938
0.906322718,5.302734375
0.916913271,5.35546875
0.927490473,5.323242188
0.938041687,5.2734375
0.948718309,5.25
0.976089239,5.3203125
0.986807585,5.23828125
0.997408152,5.3203125
1.008022308,5.23828125
1.018604755,5.323242188
1.029234648,5.326171875
1.039936304,5.296875
1.051149845,5.3203125
1.061966658,5.346679688
1.080937147,5.23828125
1.091631174,5.296875
1.102226973,5.23828125
1.112787485,5.33203125
1.123323679,5.311523438
1.133924484,5.26171875
1.144478559,5.28515625
1.15520668,5.3203125
1.165775061,5.296875
1.184188366,5.2265625
1.194864273,5.3203125
1.205431461,5.33203125
1.21598053,5.323242188
1.226569414,5.23828125
1.237119913,5.349609375
1.247665167,5.282226563
1.258236408,5.361328125
1.268676043,5.247070313
1.285569429,5.247070313
1.298190355,5.25
1.309430599,5.288085938
1.320011377,5.229492188
1.330596209,5.2265625
1.341137171,5.33203125
1.355121374,5.35546875
1.365819216,5.302734375
1.376353502,4.06640625
1.395040512,2.698242188
1.405511141,2.745117188
1.416199207,2.809570313
1.426861286,2.750976563
1.437445164,2.830078125
1.448038578,2.809570313
1.458712578,2.8125
1.469336271,2.838867188
1.496325016,2.84765625
1.507105112,2.809570313
1.517756224,2.8359375
1.528416634,2.762695313
1.539082289,2.750976563
1.550133228,2.853515625
1.563294172,2.791992188
1.574168682,2.827148438
1.585073948,2.82421875
1.603205681,2.838867188
1.613910437,2.762695313
1.624591589,2.838867188
1.635182619,2.856445313
1.645854235,2.806640625
1.656474352,2.786132813
1.667062044,2.8125
1.677721977,2.783203125
1.704679728,2.748046875
1.71530652,2.806640625
1.725944519,2.759765625
1.736684084,2.82421875
1.747251749,2.783203125
1.757808208,2.809570313
1.768350601,2.84765625
1.779043674,2.750976563
1.789649725,2.84765625
1.807980537,2.809570313
1.818610668,2.739257813
1.82922864,2.762695313
1.839792252,2.830078125
1.850355148,2.8359375
1.860909462,2.82421875
1.871454239,2.8359375
1.8820467,2.759765625
1.892678022,2.774414063
1.911822557,2.82421875
1.922436953,2.838867188
1.933054209,2.759765625
1.943626881,2.750976563
1.954231024,2.8359375
1.964768171,2.762695313
1.975370646,2.84765625
1.985943794,2.82421875
1.996577024,2.748046875
2.016439676,2.82421875
2.027104855,2.856445313
2.03773284,2.75390625
2.048743725,2.794921875
2.059536934,2.82421875
2.070123911,2.806640625
2.080735207,2.762695313
2.091427326,2.82421875
2.102289438,2.794921875
2.122401953,2.7890625
2.133134365,2.7890625
2.143716574,2.791992188
2.154280186,2.803710938
2.164833069,2.806640625
2.175420761,2.8359375
2.185991526,2.82421875
2.196682692,2.750976563
2.209550142,2.856445313
2.2199018,2.84765625
2.230267286,2.838867188
2.240614891,2.856445313
2.250958204,2.856445313
2.261306286,2.856445313
2.271640778,2.84765625
2.282017231,2.838867188
2.293922663,2.75390625
2.304706812,2.853515625
2.330312967,2.82421875
2.340975523,2.838867188
2.351562262,2.771484375
2.362182379,2.762695313
2.372741699,2.806640625
2.383359909,2.8359375
2.393972158,2.82421875
2.404586077,2.774414063
2.432064295,2.8125
2.442774057,2.8359375
2.453341484,2.797851563
2.463885546,2.756835938
2.474494934,2.791992188
2.485219955,3.046875
2.495952845,4.30078125
2.506593704,5.405273438
2.517254591,5.247070313
2.536100388,5.3671875
2.547079086,5.26171875
2.558071375,5.33203125
2.568684101,5.33203125
2.579303741,5.296875
2.589943409,5.23828125
2.603354454,5.33203125
2.614283562,5.23828125
2.640621424,5.349609375
2.65128994,5.3203125
2.661918402,5.349609375
2.672493458,5.23828125
2.683192253,5.33203125
2.693814278,5.23828125
2.704476357,5.329101563
2.715126038,5.35546875
2.725742102,5.370117188
2.743957996,5.361328125
2.754821777,5.323242188
2.765450478,5.282226563
2.776074409,5.349609375
2.786731243,5.3203125
2.797304153,5.33203125
2.807856798,5.317382813
2.818440676,5.305664063
2.828975439,5.361328125
2.839427471,5.26171875
2.850140333,5.337890625
2.860590219,5.33203125
2.87123251,5.3203125
2.88185358,5.28515625
2.892479897,5.302734375
2.903190136,5.247070313
2.915154219,5.35546875
2.928752184,5.276367188
2.954500198,5.33203125
2.965164185,5.282226563
2.975832462,5.323242188
2.986484051,5.276367188
2.997123718,5.326171875
3.007691383,5.23828125
3.018244982,5.23828125
3.028934479,5.329101563
3.04144001,5.34375
3.058365107,5.270507813
3.069107771,5.3203125
3.079725504,5.296875
3.090333939,5.326171875
3.100939035,5.3203125
3.11151886,5.33203125
3.123201132,5.33203125
3.134088516,5.323242188
3.160403013,5.323242188
3.171103477,5.229492188
3.181763887,5.296875
3.192367315,5.23828125
3.202954292,5.34375
3.213572025,5.323242188
3.224151611,5.33203125
3.234780312,5.28515625
3.24536109,5.305664063
3.263958454,5.323242188
3.274630308,5.33203125
3.285233974,5.2265625
3.295851469,5.2734375
3.306408405,5.33203125
3.31695199,5.33203125
3.327525139,5.25
3.338121176,5.305664063
3.348690271,5.361328125
3.367728472,5.35546875
3.378374577,5.2265625
3.388983965,5.25
3.399581194,5.323242188
3.41013813,5.305664063
3.4206779,5.23828125
3.431248903,5.33203125
3.441794872,5.3203125
3.452345133,5.34375
3.471768141,5.329101563
3.482429266,5.2734375
3.493085146,5.35546875
3.503666878,5.2734375
3.514238119,5.23828125
3.52483654,5.23828125
3.539093733,5.296875
3.550418139,5.247070313
3.576708317,5.323242188
3.587457657,5.28515625
3.598276377,3.3515625
3.608878613,2.736328125
3.619431973,2.82421875
3.630039215,2.8359375
3.640616417,2.750976563
3.651275396,2.80078125
3.66208744,2.786132813
3.682754755,2.809570313
3.693445206,2.8359375
3.704149008,2.82421875
3.71472311,2.8359375
3.725330591,2.830078125
3.735895634,2.853515625
3.746464252,2.8359375
3.757234335,2.791992188
3.784269571,2.797851563
3.795052528,2.806640625
3.805695534,2.82421875
3.816288948,2.809570313
3.826913834,2.806640625
3.837510586,2.759765625
3.848091364,2.82421875
3.858745575,2.806640625
3.869343281,2.794921875
3.887938499,2.8359375
3.898601055,2.739257813
3.909178257,2.8359375
3.919775724,2.830078125
3.930379629,2.75390625
3.940948248,2.797851563
3.951572418,2.783203125
3.962243319,2.8125
3.972800493,2.838867188
3.992246151,2.762695313
4.002970457,2.750976563
4.013588905,2.82421875
4.024227858,2.82421875
4.034910679,2.806640625
4.045662642,2.838867188
4.056678057,2.838867188
4.06735611,2.794921875
4.078013659,2.82421875
4.096317053,2.750976563
4.107080698,2.745117188
4.11766839,2.750976563
4.128272057,2.8359375
4.138853073,2.750976563
4.149398327,2.791992188
4.163121939,2.82421875
4.17402935,2.84765625
4.18467617,2.818359375
4.200373411,2.809570313
4.211035252,2.8359375
4.221689224,2.838867188
4.232353926,2.750976563
4.242974997,2.82421875
4.253573179,2.8359375
4.264150381,2.82421875
4.274859667,2.82421875
4.285450697,2.818359375
4.304169178,2.838867188
4.314884424,2.809570313
4.325541258,2.856445313
4.336145401,2.762695313
4.346770048,2.745117188
4.357394934,2.791992188
4.368021727,2.7890625
4.378658295,2.838867188
4.389233589,2.762695313
4.408054829,2.8359375
4.418733358,2.82421875
4.429380417,2.8359375
4.439995289,2.82421875
4.450582504,2.80078125
4.461152315,2.8359375
4.471740723,2.80078125
4.482336283,2.818359375
4.493032932,2.750976563
4.514233351,2.82421875
4.52491641,2.818359375
4.535563707,2.75390625
4.546408653,2.803710938
4.557375908,2.748046875
4.568025112,2.82421875
4.578830004,2.838867188
4.589498043,2.806640625
4.616512299,2.809570313
4.627308846,2.82421875
4.637900352,2.739257813
4.648528337,2.830078125
4.659192562,2.762695313
4.669754028,2.844726563
4.680362463,2.838867188
4.6911273,2.750976563
4.702017784,4.778320313
4.720244646,5.35546875
4.730975389,5.2265625
4.741579533,5.317382813
4.752169609,5.255859375
4.762851954,5.305664063
4.77345562,5.276367188
4.78403759,5.323242188
4.794628382,5.33203125
4.805224895,5.361328125
